drug_code,interactions
61706205,66286011;61823354;60196977;66004451;63173930;65683309;63202499;67716786;61706205;61540502;62448875;65026434;66315349;60853152;69641873;61266250;61954108;68401067;60357359;65329132;68735825;63744998;69584479;65919752;67119257;63686057;67734275;69205527;61278936
60665015,63173930;63281870;60665015
60894334,64224801;66286011;61823354;69155138;69641873;66004451;61266250;63173930;62869109;61954108;68401067;61540502;60357359;67119257;65329132;69205527;60894334;61278936
60352006,66286011;61823354;69594548;62727889;63173930;66793609;67627711;61540502;60352006;62448875;61428656;69968095;69641873;68401067;65329132;63058682;60599533;63909873;69584479;66513085;68080800;67119257;66362555;68045361;61278936
68728154,61823354;64801797;66793609;67468312;67713249;63992157;64210260;65378663;68601712;67377300;61989835;68728154;68401067;60357359;64941258;61578296;61546665;63374716;66513085;69155138;69233747;64920036;64493890;62727889;65756091;61143618;62991472;66743143;63594630;62869109;67976855;60797376;68053454;63784708;68352264;61876780;67088865;65476666;69641873;65329132;60599533;61104024;61675902;60607503;62934635;67657035;66782153;62459245;67813445;63587319;61871331;60099738;67627711;62910207;65980246;69784280;62448875;66578108;65889234;67831952;69584479;69998003;63686057;68257528;67430062;62003633;61278936;64115976;66286011;65967124;63173930;62363802;68097237;69103878;67397826;69087107;62155071;69038811;61266250;69174918;62679978;69311110;69564327;60418221;66949061;61420887;65198099;63941294;67119257;67734275;66362555;69205527
65705588,67716786;61986853;66500636;61266250;66004451;63173930;63784708;61954108;67831952;65705588;67119257;61104024;66362555;62756524;69205527;65449480;67627711
60137021,61823354;61266250;63173930;69641873;60137021;60568235;65329132;67119257;67734275;62448875;60599533;69205527;60894334;67627711
69697199,67230236;63173930;66793609;69103878;63052416;67716786;64757532;68601712;61493903;69831794;63517694;61266250;60568235;64941258;65854062;61792923;63744998;69584479;60323481;69155138;67119257;63686057;68393478;69697199
60005856,61823354;66188581;65708755;61266250;63173930;69641873;66207619;62701346;63604430;65329132;67119257;60005856;63054335;69584479
63202499,66286011;61823354;65967124;69716272;63173930;66004451;68097237;62991472;66793609;67468312;63594630;69103878;62869109;69607230;65406290;63202499;68053454;68352264;62403531;69641873;61876780;65476666;61266250;67088865;67423452;69311110;68401067;65329132;60599533;64275824;61578296;63909873;69584479;65198099;63941294;69155138;67959838;69998003;60377116;67656403;68080800;67119257;63686057;68393478;69205527
66595463,66286011;67813445;61823354;69155138;61266250;69641873;63078628;68401067;64147632;67119257;66595463;68110962;62448875;60390455
69422609,67813445;66286011;61823354;63173930;67466119;62854032;69024085;60815657;62869109;67105161;69784280;62448875;69641873;61266250;65476666;66782153;68468614;60357359;65329132;60390455;60599533;69584479;67119257;69422609;69205527;61278936
60568235,61823354;67468312;61598886;63992157;63930084;67716786;68840751;62160702;68401067;60357359;61754342;60390455;61578296;69155138;66513085;67515484;64920036;68056062;63594630;62869109;63784708;68352264;65336568;61986853;69641873;61876780;65476666;61699593;67088865;67423452;65329132;60599533;61104024;63909873;67100659;61675902;67959838;68080800;63020144;64224801;67627711;62910207;66810994;62448875;61066196;66706942;69584479;60323481;69998003;68257528;68712716;62003633;61278936;63152345;66286011;65967124;63173930;66004451;62363802;64700691;68097237;69103878;67397826;63558577;62155071;69831794;63517694;61266250;60568235;64146936;65198099;63941294;67656403;67119257;67734275;66362555;69205527
60372215,66286011;63173930;60372215;68401067;60357359;67119257;67351818;61104024;64275824;63744998;67173874
61699593,67813445;68056062;61823354;66286011;63173930;66004451;67468312;62869109;62079905;67397826;62910207;62448875;66578108;69831794;69641873;61266250;61699593;69174918;65476666;68401067;63604430;65329132;60599533;69584479;60323481;69491847;67119257;64623818;64920036;63152345
69622809,67813445;61823354;63941294;69155138;61876780;69641873;63173930;69622809;65329132;67119257;62448875;63594630;66152667;69205527;69584479
63268887,66286011;61823354;69641873;63268887;63173930;60372215;68401067;67734275;65329132;67119257;62448875;60599533;67713249;64234749
67105161,67813445;66286011;61823354;63173930;62869109;67105161;69536826;62448875;62368639;62160702;69831794;61266250;69641873;65476666;68401067;65329132;64941258;60599533;65512856;63744998;60030980;69584479;63374716;62701346;67119257;63686057;61214830;68712716;69205527
68320252,67813445;61823354;65061182;63173930;67716786;61540502;68601712;62448875;68352264;65502762;68320252;60853152;69641873;61266250;61876780;65329132;60599533;69584479;62824288;67119257;68257528;66362555;69205527
64495973,67716786;61345705;60853152;63699439;60323481;68083369;60568235;60372215;63085761;67468312;63531587;60105568;62907143;63409284;64495973
65545895,67813445;61823354;60812344;66004451;68729480;60990140;68053454;65980246;65545895;62448875;61493903;62403531;69641873;65329132;69584479;60215623;67119257;69205527;60894334
